Search_term,Station,Latitude,Longitude
A Coruña,A Coruña,43.37135,-8.396
Albacete,Albacete,38.99424,-1.85643
Alicante,Alicante,38.34517,-0.48149
Almería,Almería,36.83814,-2.45974
Ávila,Ávila,40.65724,-4.69951
Badajoz,Badajos,38.87789,-6.97061
Barcelona,Barcelona,41.38879,2.15899
Bilbao,Bilbao,43.26271,-2.92528
Burgos,Burgos,42.34106,-3.70184
Cáceres,Cáceres,39.47649,-6.37224
Cádiz,Cadiz,36.52672,-6.2891
Castellón,Castellon,39.98567,-0.04935
Ciudad Real,Ciudad Real,38.98626,-3.92907
Córdoba,Cordova,37.89155,-4.77275
Cuenca,Cuenca,40.06667,-2.13333
Girona,Girona,41.98311,2.82493
Granada,Granada,37.18817,-3.60667
Guadalajara,Guadalajara,40.62862,-3.16185
Huelva,Huelva,37.26638,-6.94004
Huesca,Huesca,42.13615,-0.4087
Jaén,Jaén,37.76922,-3.79028
León,León,42.60003,-5.57032
Lleida,Lleida,41.61674,0.62218
Logroño,Logroño,42.46667,-2.45
Lugo,Lugo,43.00992,-7.55602
Madrid,Madrid,40.4165,-3.70256
Málaga,Málaga,36.72016,-4.42034
Murcia,Murcia,37.98704,-1.13004
Ourense,Ourense,42.33669,-7.86407
Oviedo,Oviedo,43.36029,-5.84476
Palencia,Palencia,42.00955,-4.52406
Palma,Palma,39.56939,2.65024
Pamplona,Pamplona,42.81687,-1.64323
Las Palmas de Gran Canaria,Las Palmas de Gran Canaria,28.09973,-15.41343
Pontevedra,Pontevedra,42.431,-8.64435
Salamanca,Salamanca,40.96882,-5.66388
San Sebastián,San Sebastián,43.56667,-5.9
Santa Cruz de Tenerife,Tenerife,28.46824,-16.25462
Santander,Santander,43.46472,-3.80444
Segovia,Segovia,40.94808,-4.11839
Sevilla,Seville,37.38283,-5.97317
Soria,Soria,41.76401,-2.46883
Tarragona,Tarragona,41.11667,1.25
Teruel,Teruel,40.3456,-1.10646
Toledo,Toledo,39.8581,-4.02263
Valencia,Valencia,39.46975,-0.37739
Valladolid,Valladolid,41.65518,-4.72372
Vitoria-Gasteiz,Vitoria-Gasteiz,42.84998,-2.67268
Zamora,Zamora,41.50633,-5.74456
Zaragoza,Zaragoza,41.65606,-0.87734
